what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1307307754723
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1307307754724
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1307307754725
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1307307754736
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1307307754737
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1307307754738
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1307307754755
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1307307754756
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1307307754756
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1307307754757
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1307307754758
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1307307754758
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1307307754759
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1307307754759
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1307307754760
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1307307754761
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1307307754768
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1307307754769
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1307307754778
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1307307754779
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1307307754780
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1307307754781
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1307307754782
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1307307754784
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1307307754785
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1307307754806
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1307307754807
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1307307754819
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1307307754826
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1307307754826
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1307307754826
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1307307754827
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1307307754828
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1307307754840
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1307307754841
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1307307754856
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1307307754857
os,sysinfo,,,"win32",1307307754861
arch,sysinfo,,,"x86_64",1307307754861
ws,sysinfo,,,"win32",1307307754861
locale,sysinfo,,,"pt_BR",1307307754861
processors,sysinfo,,,"4",1307307754861
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1307307754861
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1307307754861
java.specification.name,sysinfo,,,"Java Platform API Specification",1307307754861
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307307754861
java.specification.version,sysinfo,,,"1.6",1307307754861
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1307307754861
java.version,sysinfo,,,"1.6.0_25",1307307754861
java.vm.info,sysinfo,,,"mixed mode",1307307754861
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1307307754861
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307307754861
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307307754861
java.vm.specification.version,sysinfo,,,"1.0",1307307754861
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1307307754861
java.vm.version,sysinfo,,,"20.0-b11",1307307754861
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307307768837
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307307771529
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307307771744
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1307307772571
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1307307773015
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1307307773060
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1307307773092
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1307307773134
